"date","bankbuy","banksell"
2026-03-10,210394,213360
2026-03-10,211532,214500
2026-03-11,211045,213601
2026-03-12,210759,213320
2026-03-12,210073,212635
2026-03-12,210140,212705
2026-03-13,208866,211431
2026-03-13,208257,210822
2026-03-14,208257,210822
2026-03-14,208257,210822
2026-03-15,208257,210822
2026-03-15,208257,210822
2026-03-16,205272,208248
2026-03-16,204191,207160
2026-03-17,205737,208708
2026-03-18,203661,206624
2026-03-18,199239,202204
2026-03-19,198138,201104
2026-03-19,189021,191972
2026-03-20,192344,195296
2026-03-20,187447,190396
2026-03-21,187447,190396
2026-03-21,187447,190396
2026-03-22,187447,190396
2026-03-22,187447,190396
2026-03-23,174853,177785
2026-03-23,183073,186002
2026-03-24,178307,181235
2026-03-24,180843,183776
2026-03-25,186389,189330
2026-03-25,186670,189613
2026-03-26,180954,183894
2026-03-26,183223,186167
2026-03-27,183343,186292
2026-03-27,184249,187203
2026-03-28,184249,187203
2026-03-28,184249,187203
2026-03-29,184249,187203
2026-03-29,184249,187203
2026-03-30,186607,189564
2026-03-30,186896,189861
2026-03-31,188141,191108
2026-03-31,189906,192869
2026-04-01,193620,196579
2026-04-01,194444,197405
2026-04-02,187395,190354
2026-04-02,192353,195315
2026-04-03,192353,195315
2026-04-03,192353,195315
2026-04-04,192353,195315
2026-04-04,192353,195315
2026-04-05,192353,195315
2026-04-05,192353,195315
2026-04-06,190473,193435
2026-04-06,191791,194750
